Kota_Asal,JENIS_KELAMIN,JURUSAN_SMA,Prodi,IPK
11,2,4,2,4
15,2,1,7,4
15,2,1,7,4
15,1,2,7,3.99
15,2,1,11,3.99
20,2,2,2,3.99
11,2,1,8,3.98
15,1,1,3,3.98
15,2,1,7,3.98
12,2,2,5,3.97
15,2,1,10,3.97
17,2,1,5,3.97
9,1,19,12,3.97
15,1,2,3,3.96
15,1,19,5,3.96
15,2,1,4,3.96
15,2,1,5,3.96
15,2,1,7,3.96
15,1,1,11,3.96
11,2,1,10,3.95
12,2,1,3,3.95
12,2,1,9,3.95
15,2,1,3,3.95
15,2,1,11,3.95
15,2,4,2,3.95
15,2,1,8,3.95
15,1,1,10,3.95
20,2,1,7,3.95
9,1,4,2,3.95
9,1,1,11,3.95
12,1,4,2,3.94
15,2,1,1,3.94
15,2,2,5,3.94
15,2,1,3,3.94
15,2,1,3,3.94
11,2,4,3,3.93
11,2,1,5,3.93
12,1,4,2,3.93
12,2,2,12,3.93
15,1,2,5,3.93
15,1,2,7,3.93
15,1,1,2,3.92
15,2,1,6,3.92
15,2,4,5,3.92
15,1,2,7,3.92
20,2,1,5,3.92
20,2,1,5,3.92
23,2,1,9,3.92
9,2,19,3,3.92
11,2,1,7,3.91
12,2,19,12,3.91
15,1,1,1,3.91
15,2,2,2,3.91
15,2,4,2,3.91
15,2,2,5,3.91
15,2,1,12,3.91
15,2,1,8,3.91
9,1,1,1,3.91
10,2,1,5,3.9
11,1,2,5,3.9
12,2,2,5,3.9
12,2,1,5,3.9
12,2,1,5,3.9
12,2,1,12,3.9
12,2,19,12,3.9
12,1,1,11,3.9
15,2,4,3,3.9
15,2,2,6,3.9
15,2,1,10,3.9
19,2,1,6,3.9
20,2,13,7,3.9
20,1,1,5,3.9
4,2,1,3,3.9
11,1,2,9,3.89
15,2,1,2,3.89
15,2,2,7,3.89
15,1,1,10,3.89
15,2,4,2,3.89
15,2,2,7,3.89
15,2,1,10,3.89
12,2,1,3,3.88
12,2,1,8,3.88
15,1,2,3,3.88
15,2,19,5,3.88
15,2,1,5,3.88
15,1,4,7,3.88
15,1,2,7,3.88
15,2,1,12,3.88
15,1,1,10,3.88
2,1,1,12,3.88
20,1,1,10,3.88
4,2,2,5,3.88
10,2,1,8,3.87
11,2,4,4,3.87
12,2,1,7,3.87
15,2,4,2,3.87
15,2,1,4,3.87
15,2,1,5,3.87
15,2,1,2,3.87
15,1,2,6,3.87
15,2,2,8,3.87
20,2,2,8,3.87
10,2,2,4,3.86
12,2,1,5,3.86
12,1,1,12,3.86
12,2,1,12,3.86
15,2,1,2,3.86
15,1,1,3,3.86
15,2,2,12,3.86
15,2,4,12,3.86
15,2,2,2,3.86
15,2,4,3,3.86
15,1,1,10,3.86
20,2,17,5,3.86
20,2,1,5,3.86
9,2,4,2,3.86
11,1,1,11,3.85
15,1,2,3,3.85
15,1,4,3,3.85
15,2,2,7,3.85
15,2,2,3,3.85
15,1,2,10,3.85
15,2,4,5,3.85
20,2,1,5,3.85
5,1,1,11,3.85
11,2,18,5,3.84
12,2,2,2,3.84
15,2,6,3,3.84
15,1,13,3,3.84
15,2,2,3,3.84
15,2,2,8,3.84
15,2,1,2,3.84
15,2,5,8,3.84
20,2,2,3,3.84
9,2,19,3,3.84
9,1,2,3,3.84
10,2,4,2,3.83
11,1,18,3,3.83
11,1,19,5,3.83
12,2,19,8,3.83
12,1,1,11,3.83
15,2,5,1,3.83
15,2,6,3,3.83
15,2,2,5,3.83
15,1,2,8,3.83
15,2,2,1,3.83
15,2,1,3,3.83
15,1,1,11,3.83
20,2,2,5,3.83
29,2,4,3,3.83
11,1,19,12,3.82
15,1,2,5,3.82
15,2,1,5,3.82
15,2,1,7,3.82
15,2,4,8,3.82
15,2,1,10,3.82
15,1,1,2,3.82
15,2,2,3,3.82
15,2,1,12,3.82
20,1,1,10,3.82
5,2,1,3,3.82
5,2,1,10,3.82
10,2,1,8,3.81
12,2,1,3,3.81
12,2,2,3,3.81
12,2,2,8,3.81
15,2,4,1,3.81
15,2,1,5,3.81
15,2,1,2,3.81
15,2,1,3,3.81
15,2,4,7,3.81
15,2,1,8,3.81
15,1,17,10,3.81
15,2,15,12,3.81
20,1,4,7,3.81
9,1,1,9,3.81
10,2,2,1,3.8
12,2,1,12,3.8
15,2,2,6,3.8
15,1,6,9,3.8
17,2,1,5,3.8
3,2,4,2,3.8
6,2,2,1,3.8
11,2,1,7,3.79
11,2,4,8,3.79
11,1,1,3,3.79
12,2,2,2,3.79
12,2,2,5,3.79
12,2,1,5,3.79
15,2,1,1,3.79
15,2,4,2,3.79
15,2,4,2,3.79
15,1,4,2,3.79
15,1,6,3,3.79
15,2,19,5,3.79
15,2,2,7,3.79
15,1,1,9,3.79
15,1,2,3,3.79
15,2,1,5,3.79
15,1,1,10,3.79
15,1,4,10,3.79
9,1,1,10,3.79
11,2,4,7,3.78
