Prodi,Kota_Asal,JENIS_KELAMIN,JURUSAN_SMA,IPK
2,11,2,4,4
7,15,2,1,4
7,15,2,1,4
7,15,1,2,3.99
11,15,2,1,3.99
2,20,2,2,3.99
8,11,2,1,3.98
3,15,1,1,3.98
7,15,2,1,3.98
5,12,2,2,3.97
10,15,2,1,3.97
5,17,2,1,3.97
12,9,1,19,3.97
3,15,1,2,3.96
5,15,1,19,3.96
4,15,2,1,3.96
5,15,2,1,3.96
7,15,2,1,3.96
11,15,1,1,3.96
10,11,2,1,3.95
3,12,2,1,3.95
9,12,2,1,3.95
3,15,2,1,3.95
11,15,2,1,3.95
2,15,2,4,3.95
8,15,2,1,3.95
10,15,1,1,3.95
7,20,2,1,3.95
2,9,1,4,3.95
11,9,1,1,3.95
2,12,1,4,3.94
1,15,2,1,3.94
5,15,2,2,3.94
3,15,2,1,3.94
3,15,2,1,3.94
3,11,2,4,3.93
5,11,2,1,3.93
2,12,1,4,3.93
12,12,2,2,3.93
5,15,1,2,3.93
7,15,1,2,3.93
2,15,1,1,3.92
6,15,2,1,3.92
5,15,2,4,3.92
7,15,1,2,3.92
5,20,2,1,3.92
5,20,2,1,3.92
9,23,2,1,3.92
3,9,2,19,3.92
7,11,2,1,3.91
12,12,2,19,3.91
1,15,1,1,3.91
2,15,2,2,3.91
2,15,2,4,3.91
5,15,2,2,3.91
12,15,2,1,3.91
8,15,2,1,3.91
1,9,1,1,3.91
5,10,2,1,3.9
5,11,1,2,3.9
5,12,2,2,3.9
5,12,2,1,3.9
5,12,2,1,3.9
12,12,2,1,3.9
12,12,2,19,3.9
11,12,1,1,3.9
3,15,2,4,3.9
6,15,2,2,3.9
10,15,2,1,3.9
6,19,2,1,3.9
7,20,2,13,3.9
5,20,1,1,3.9
3,4,2,1,3.9
9,11,1,2,3.89
2,15,2,1,3.89
7,15,2,2,3.89
10,15,1,1,3.89
2,15,2,4,3.89
7,15,2,2,3.89
10,15,2,1,3.89
3,12,2,1,3.88
8,12,2,1,3.88
3,15,1,2,3.88
5,15,2,19,3.88
5,15,2,1,3.88
7,15,1,4,3.88
7,15,1,2,3.88
12,15,2,1,3.88
10,15,1,1,3.88
12,2,1,1,3.88
10,20,1,1,3.88
5,4,2,2,3.88
8,10,2,1,3.87
4,11,2,4,3.87
7,12,2,1,3.87
2,15,2,4,3.87
4,15,2,1,3.87
5,15,2,1,3.87
2,15,2,1,3.87
6,15,1,2,3.87
8,15,2,2,3.87
8,20,2,2,3.87
4,10,2,2,3.86
5,12,2,1,3.86
12,12,1,1,3.86
12,12,2,1,3.86
2,15,2,1,3.86
3,15,1,1,3.86
12,15,2,2,3.86
12,15,2,4,3.86
2,15,2,2,3.86
3,15,2,4,3.86
10,15,1,1,3.86
5,20,2,17,3.86
5,20,2,1,3.86
2,9,2,4,3.86
11,11,1,1,3.85
3,15,1,2,3.85
3,15,1,4,3.85
7,15,2,2,3.85
3,15,2,2,3.85
10,15,1,2,3.85
5,15,2,4,3.85
5,20,2,1,3.85
11,5,1,1,3.85
5,11,2,18,3.84
2,12,2,2,3.84
3,15,2,6,3.84
3,15,1,13,3.84
3,15,2,2,3.84
8,15,2,2,3.84
2,15,2,1,3.84
8,15,2,5,3.84
3,20,2,2,3.84
3,9,2,19,3.84
3,9,1,2,3.84
2,10,2,4,3.83
3,11,1,18,3.83
5,11,1,19,3.83
8,12,2,19,3.83
11,12,1,1,3.83
1,15,2,5,3.83
3,15,2,6,3.83
5,15,2,2,3.83
8,15,1,2,3.83
1,15,2,2,3.83
3,15,2,1,3.83
11,15,1,1,3.83
5,20,2,2,3.83
3,29,2,4,3.83
12,11,1,19,3.82
5,15,1,2,3.82
5,15,2,1,3.82
7,15,2,1,3.82
8,15,2,4,3.82
10,15,2,1,3.82
2,15,1,1,3.82
3,15,2,2,3.82
12,15,2,1,3.82
10,20,1,1,3.82
3,5,2,1,3.82
10,5,2,1,3.82
8,10,2,1,3.81
3,12,2,1,3.81
3,12,2,2,3.81
8,12,2,2,3.81
1,15,2,4,3.81
5,15,2,1,3.81
2,15,2,1,3.81
3,15,2,1,3.81
7,15,2,4,3.81
8,15,2,1,3.81
10,15,1,17,3.81
12,15,2,15,3.81
7,20,1,4,3.81
9,9,1,1,3.81
1,10,2,2,3.8
12,12,2,1,3.8
6,15,2,2,3.8
9,15,1,6,3.8
5,17,2,1,3.8
2,3,2,4,3.8
1,6,2,2,3.8
7,11,2,1,3.79
8,11,2,4,3.79
3,11,1,1,3.79
2,12,2,2,3.79
5,12,2,2,3.79
5,12,2,1,3.79
1,15,2,1,3.79
2,15,2,4,3.79
2,15,2,4,3.79
2,15,1,4,3.79
3,15,1,6,3.79
5,15,2,19,3.79
7,15,2,2,3.79
9,15,1,1,3.79
3,15,1,2,3.79
5,15,2,1,3.79
10,15,1,1,3.79
10,15,1,4,3.79
10,9,1,1,3.79
7,11,2,4,3.78
10,11,1,1,3.78
8,12,2,5,3.78
12,12,1,1,3.78
1,15,2,1,3.78
1,15,2,1,3.78
5,15,1,1,3.78
8,15,2,5,3.78
3,20,2,2,3.78
2,11,2,1,3.77
2,11,1,2,3.77
5,11,2,1,3.77
5,11,2,2,3.77
2,12,2,4,3.77
5,12,1,2,3.77
5,12,2,2,3.77
8,12,2,2,3.77
5,13,2,2,3.77
2,15,2,4,3.77
2,15,2,4,3.77
5,15,2,4,3.77
5,15,2,1,3.77
9,15,1,1,3.77
10,15,2,1,3.77
5,15,1,2,3.77
5,15,2,2,3.77
10,15,1,1,3.77
8,2,2,1,3.77
3,20,2,2,3.77
2,15,2,4,3.76
2,15,2,4,3.76
5,15,2,4,3.76
5,15,2,1,3.76
7,15,1,1,3.76
5,15,2,1,3.76
5,15,2,6,3.76
8,2,1,1,3.76
9,9,1,1,3.76
12,11,2,2,3.75
2,11,2,4,3.75
2,12,2,4,3.75
5,12,2,2,3.75
2,12,2,2,3.75
3,12,2,4,3.75
9,12,1,1,3.75
1,15,1,2,3.75
5,15,1,2,3.75
10,15,1,6,3.75
6,15,2,1,3.75
9,15,1,4,3.75
3,9,1,1,3.75
11,11,1,2,3.74
8,12,2,2,3.74
5,15,2,4,3.74
8,15,1,2,3.74
3,15,2,1,3.74
3,15,1,2,3.74
8,15,1,2,3.74
8,15,2,19,3.74
9,20,2,16,3.74
8,5,2,1,3.74
8,9,1,4,3.74
11,10,1,1,3.73
5,11,2,2,3.73
1,12,2,1,3.73
3,12,2,1,3.73
5,12,2,19,3.73
3,12,2,6,3.73
5,12,2,1,3.73
5,12,2,1,3.73
5,12,2,4,3.73
3,15,2,1,3.73
8,15,1,1,3.73
12,15,2,6,3.73
2,15,1,1,3.73
2,15,1,2,3.73
5,15,1,1,3.73
2,3,2,4,3.73
3,15,2,19,3.72
5,15,2,1,3.72
5,15,2,19,3.72
3,15,1,2,3.72
3,15,2,1,3.72
6,15,2,1,3.72
6,15,1,2,3.72
8,15,2,5,3.72
8,15,2,2,3.72
9,15,1,2,3.72
5,20,2,2,3.72
5,29,2,1,3.72
5,9,2,1,3.72
8,10,2,2,3.71
5,11,2,2,3.71
12,11,2,1,3.71
2,12,1,4,3.71
3,12,1,1,3.71
5,12,2,1,3.71
5,12,2,2,3.71
12,12,1,1,3.71
12,12,2,2,3.71
2,15,2,4,3.71
5,15,1,1,3.71
9,15,1,4,3.71
12,15,1,2,3.71
12,15,2,2,3.71
12,15,1,2,3.71
3,15,2,2,3.71
5,15,1,2,3.71
5,15,1,2,3.71
8,15,2,4,3.71
2,20,1,4,3.71
4,26,1,1,3.71
12,11,2,2,3.7
2,15,1,4,3.7
5,15,2,2,3.7
5,15,2,4,3.7
5,15,2,4,3.7
7,15,1,2,3.7
9,15,1,2,3.7
2,21,2,1,3.7
3,12,1,2,3.69
2,15,1,4,3.69
3,15,2,6,3.69
5,15,2,1,3.69
10,15,1,1,3.69
8,20,2,2,3.69
10,11,1,19,3.68
3,11,1,2,3.68
6,12,2,19,3.68
2,12,1,2,3.68
5,12,1,19,3.68
1,15,2,2,3.68
2,15,1,4,3.68
3,15,2,1,3.68
5,15,1,2,3.68
9,15,1,2,3.68
10,15,1,1,3.68
12,15,2,19,3.68
2,15,1,2,3.68
3,15,1,1,3.68
11,15,2,1,3.68
5,20,2,2,3.68
2,22,2,1,3.68
5,4,2,2,3.68
8,4,2,1,3.68
8,11,1,1,3.67
2,12,2,4,3.67
3,12,1,2,3.67
8,12,2,19,3.67
1,15,2,1,3.67
10,15,1,1,3.67
10,15,1,1,3.67
11,15,1,1,3.67
2,7,2,4,3.67
9,11,1,6,3.66
2,11,2,1,3.66
12,11,2,1,3.66
3,12,2,4,3.66
3,12,1,1,3.66
5,12,2,1,3.66
5,12,2,1,3.66
12,12,2,1,3.66
5,15,2,4,3.66
7,15,2,4,3.66
3,15,2,4,3.66
8,15,2,2,3.66
8,15,2,2,3.66
10,15,1,1,3.66
6,15,1,2,3.66
8,15,1,5,3.66
10,15,1,19,3.66
12,15,1,1,3.66
7,20,2,2,3.66
9,20,1,2,3.66
2,7,2,4,3.66
3,9,1,4,3.66
5,11,1,2,3.65
10,11,1,6,3.65
8,12,2,19,3.65
6,15,2,2,3.65
12,15,1,2,3.65
5,15,2,2,3.65
8,15,2,5,3.65
1,6,2,2,3.65
5,11,1,1,3.64
2,11,2,4,3.64
5,11,2,1,3.64
2,12,2,4,3.64
5,12,2,1,3.64
4,15,2,2,3.64
12,15,2,2,3.64
2,15,2,2,3.64
2,15,2,19,3.64
5,15,1,1,3.64
7,15,2,2,3.64
3,20,1,2,3.64
8,7,2,2,3.64
5,11,2,2,3.63
8,12,1,2,3.63
8,15,1,5,3.63
12,15,1,1,3.63
3,15,1,2,3.63
5,15,2,2,3.63
8,15,2,2,3.63
8,15,2,1,3.63
10,15,1,1,3.63
10,15,1,1,3.63
3,20,2,9,3.63
7,11,2,2,3.62
10,11,1,4,3.62
10,12,1,1,3.62
2,12,2,4,3.62
3,12,1,2,3.62
12,12,2,1,3.62
2,15,1,2,3.62
5,15,2,2,3.62
7,15,2,13,3.62
9,15,1,2,3.62
10,15,1,4,3.62
2,15,2,6,3.62
3,15,1,6,3.62
5,15,1,19,3.62
6,15,2,2,3.62
8,15,2,2,3.62
8,15,1,2,3.62
10,15,2,1,3.62
10,20,1,1,3.62
10,26,1,1,3.62
5,29,2,6,3.62
8,11,1,1,3.61
10,11,1,19,3.61
5,15,1,2,3.61
5,15,2,2,3.61
5,15,2,1,3.61
5,15,2,2,3.61
12,15,2,2,3.61
2,15,2,1,3.61
5,15,2,6,3.61
5,15,2,1,3.61
8,15,1,2,3.61
8,15,2,14,3.61
6,31,2,1,3.61
5,11,2,1,3.6
11,11,1,1,3.6
3,12,1,2,3.6
5,12,1,2,3.6
5,12,2,2,3.6
3,12,2,6,3.6
5,12,1,2,3.6
5,15,2,4,3.6
5,15,1,1,3.6
5,15,2,2,3.6
9,15,1,4,3.6
2,15,2,4,3.6
5,15,1,19,3.6
10,15,1,19,3.6
10,15,1,1,3.6
3,20,1,18,3.6
5,20,2,1,3.6
5,20,1,2,3.6
8,20,2,4,3.6
3,29,1,2,3.6
5,12,2,2,3.59
8,12,2,2,3.59
1,15,2,1,3.59
2,15,2,4,3.59
2,15,2,2,3.59
2,15,2,1,3.59
5,15,2,4,3.59
2,15,2,2,3.59
3,15,2,2,3.59
3,15,2,2,3.59
8,15,2,14,3.59
10,15,1,1,3.59
2,33,2,1,3.59
12,11,2,1,3.58
2,12,2,2,3.58
3,12,1,2,3.58
8,14,2,1,3.58
2,15,2,4,3.58
5,15,1,1,3.58
5,15,2,1,3.58
5,15,2,4,3.58
5,15,2,6,3.58
7,15,2,15,3.58
3,15,1,4,3.58
9,15,1,4,3.58
10,15,1,19,3.58
12,15,2,2,3.58
1,15,1,2,3.58
2,15,1,2,3.58
2,15,1,2,3.58
6,15,2,1,3.58
7,15,2,2,3.58
8,15,2,2,3.58
8,15,2,5,3.58
8,15,2,1,3.58
11,15,1,1,3.58
5,20,2,1,3.58
3,26,2,1,3.58
3,26,1,2,3.58
8,7,2,1,3.58
4,9,2,1,3.58
8,9,2,19,3.58
5,11,1,4,3.57
12,11,2,4,3.57
12,11,2,2,3.57
3,12,2,2,3.57
5,15,2,2,3.57
7,15,2,2,3.57
7,15,2,2,3.57
3,15,2,4,3.57
4,15,1,2,3.57
8,15,1,4,3.57
5,20,2,1,3.57
8,20,1,2,3.57
5,11,2,1,3.56
8,11,2,2,3.56
8,11,2,19,3.56
12,12,2,2,3.56
2,12,2,2,3.56
12,12,1,1,3.56
12,12,2,2,3.56
5,13,2,1,3.56
5,15,1,2,3.56
5,15,2,1,3.56
11,15,1,1,3.56
12,15,1,2,3.56
8,15,2,1,3.56
12,15,2,13,3.56
3,2,2,1,3.56
12,29,2,1,3.56
5,4,2,1,3.56
2,9,2,7,3.56
2,12,2,1,3.55
11,12,2,1,3.55
2,15,2,2,3.55
5,15,1,1,3.55
8,15,2,5,3.55
2,15,1,2,3.55
2,15,2,2,3.55
3,15,1,1,3.55
3,15,2,2,3.55
5,15,1,19,3.55
3,15,1,1,3.55
9,15,2,1,3.55
9,15,2,6,3.55
10,15,1,1,3.55
10,15,1,1,3.55
10,15,1,19,3.55
12,15,1,5,3.55
12,15,1,1,3.55
3,22,2,2,3.55
4,28,2,1,3.55
8,8,2,1,3.55
2,9,1,4,3.55
2,11,1,4,3.54
5,11,1,19,3.54
1,12,2,1,3.54
1,15,2,2,3.54
5,15,2,2,3.54
5,15,2,4,3.54
9,15,1,1,3.54
12,15,2,4,3.54
5,3,2,1,3.54
3,9,1,4,3.54
12,9,1,4,3.54
5,11,2,2,3.53
12,11,2,19,3.53
3,12,1,19,3.53
10,12,1,1,3.53
3,12,2,2,3.53
8,13,2,2,3.53
2,15,2,4,3.53
3,15,2,2,3.53
5,15,1,2,3.53
9,15,1,2,3.53
5,15,1,19,3.53
8,15,2,1,3.53
9,15,1,11,3.53
12,7,1,18,3.53
10,9,1,19,3.53
10,9,1,19,3.53
2,11,2,4,3.52
2,12,1,2,3.52
8,12,2,19,3.52
2,15,2,2,3.52
3,15,1,2,3.52
5,15,2,2,3.52
10,15,1,8,3.52
12,15,2,1,3.52
8,4,1,1,3.52
12,11,2,2,3.51
10,11,1,1,3.51
12,12,1,1,3.51
2,12,2,4,3.51
5,12,2,6,3.51
9,12,1,2,3.51
12,12,1,19,3.51
2,15,2,1,3.51
3,15,2,5,3.51
4,15,2,2,3.51
8,15,1,5,3.51
9,15,2,1,3.51
3,15,2,2,3.51
3,15,2,19,3.51
3,15,1,1,3.51
8,15,2,14,3.51
12,15,1,19,3.51
4,23,2,2,3.51
8,4,2,2,3.51
2,5,1,4,3.51
10,12,1,1,3.5
5,12,1,2,3.5
12,12,2,19,3.5
1,15,2,1,3.5
2,15,2,1,3.5
3,15,2,2,3.5
3,15,1,2,3.5
5,15,2,1,3.5
8,15,2,1,3.5
10,15,1,1,3.5
5,15,2,4,3.5
8,15,1,19,3.5
8,15,1,2,3.5
10,15,1,1,3.5
12,15,2,2,3.5
3,20,2,2,3.5
8,20,2,4,3.5
3,11,2,2,3.49
3,12,1,17,3.49
5,12,1,2,3.49
8,12,2,2,3.49
12,12,1,1,3.49
2,15,2,1,3.49
2,15,2,2,3.49
5,15,1,2,3.49
5,15,2,1,3.49
11,15,1,19,3.49
4,15,1,1,3.49
5,15,1,2,3.49
5,15,2,4,3.49
5,15,2,2,3.49
8,15,2,2,3.49
8,15,2,2,3.49
8,15,1,4,3.49
10,15,1,1,3.49
2,29,1,2,3.49
2,11,2,2,3.48
2,11,2,4,3.48
2,12,2,4,3.48
2,12,2,1,3.48
8,12,1,1,3.48
8,12,2,19,3.48
1,15,2,2,3.48
10,15,1,1,3.48
3,29,2,1,3.48
1,9,1,4,3.48
2,11,2,4,3.47
3,11,2,4,3.47
4,11,2,2,3.47
3,11,1,4,3.47
5,12,1,2,3.47
9,12,1,18,3.47
3,12,2,1,3.47
5,12,2,2,3.47
5,12,2,2,3.47
2,15,2,4,3.47
2,15,2,4,3.47
2,15,1,4,3.47
5,15,2,4,3.47
5,15,1,1,3.47
8,15,1,5,3.47
8,15,1,19,3.47
12,15,1,2,3.47
12,15,2,4,3.47
2,15,2,1,3.47
5,15,2,17,3.47
5,15,2,19,3.47
5,15,2,1,3.47
12,15,1,1,3.47
8,26,2,2,3.47
4,29,2,1,3.47
9,5,1,2,3.47
2,9,2,1,3.47
5,9,2,2,3.47
8,11,1,19,3.46
7,11,2,1,3.46
5,12,2,4,3.46
2,12,2,4,3.46
3,12,1,2,3.46
1,15,1,2,3.46
3,15,2,4,3.46
2,15,1,4,3.46
3,15,1,19,3.46
5,15,2,1,3.46
3,9,2,2,3.46
3,11,1,19,3.45
5,11,1,4,3.45
5,11,1,19,3.45
2,12,2,1,3.45
5,12,1,2,3.45
2,12,2,2,3.45
5,12,2,2,3.45
8,12,2,5,3.45
1,15,1,2,3.45
3,15,2,1,3.45
3,15,2,4,3.45
3,15,2,4,3.45
3,15,2,4,3.45
3,15,1,2,3.45
3,15,1,1,3.45
5,15,1,19,3.45
6,15,2,1,3.45
10,15,1,1,3.45
10,15,1,1,3.45
12,15,2,2,3.45
12,15,2,1,3.45
1,15,1,2,3.45
2,15,2,2,3.45
3,15,2,5,3.45
5,15,1,1,3.45
5,15,2,5,3.45
5,15,2,4,3.45
6,15,2,19,3.45
1,20,1,2,3.45
4,29,2,2,3.45
5,29,2,2,3.45
8,10,1,1,3.44
5,11,2,2,3.44
5,11,2,19,3.44
10,11,1,1,3.44
5,12,2,2,3.44
5,12,2,2,3.44
5,15,2,6,3.44
8,15,1,5,3.44
12,15,2,2,3.44
6,15,1,2,3.44
8,15,2,2,3.44
9,15,1,2,3.44
12,2,1,2,3.44
1,7,2,2,3.44
12,11,2,19,3.43
5,11,2,4,3.43
10,11,2,1,3.43
10,11,1,1,3.43
9,12,1,2,3.43
2,12,2,2,3.43
2,15,2,1,3.43
3,15,2,6,3.43
5,15,1,2,3.43
5,15,2,2,3.43
8,15,2,1,3.43
2,15,2,4,3.43
5,15,1,5,3.43
10,15,1,19,3.43
3,20,2,13,3.43
3,9,1,4,3.43
5,11,1,19,3.42
5,11,2,2,3.42
5,11,1,19,3.42
5,11,2,4,3.42
6,11,1,1,3.42
5,12,2,2,3.42
5,12,2,4,3.42
